year,model,price,transmission,mileage,fuelType,tax,mpg,engineSize,selling_price
2019, 1 Series,31000,Semi-Auto,9888,Petrol,145,34.5,2.0,23724.3
2019, 1 Series,16695,Manual,4160,Petrol,145,53.3,1.5,12776.6835
2015, 1 Series,11721,Manual,40057,Diesel,30,65.7,2.0,5409.2415
2017, 1 Series,13980,Manual,19484,Diesel,145,72.4,1.5,8228.628
2017, 1 Series,21498,Semi-Auto,18836,Petrol,150,39.8,3.0,12653.7228
2017, 1 Series,15490,Semi-Auto,28646,Diesel,145,68.9,2.0,9117.414
2019, 1 Series,21000,Manual,1906,Petrol,145,44.1,1.5,16071.3
2017, 1 Series,11850,Manual,32285,Diesel,150,68.9,2.0,6974.91
2019, 1 Series,26300,Manual,5446,Diesel,145,53.3,2.0,20127.39
2017, 1 Series,16700,Automatic,25076,Diesel,125,60.1,2.0,9829.62
2017, 1 Series,14300,Manual,21323,Petrol,145,52.3,1.5,8416.98
2017, 1 Series,16995,Automatic,19654,Petrol,145,54.3,1.5,10003.257
2017, 1 Series,9400,Manual,65681,Diesel,20,70.6,2.0,5532.84
2017, 1 Series,13900,Automatic,31672,Diesel,20,67.3,2.0,8181.54
2017, 1 Series,14495,Semi-Auto,20031,Petrol,30,58.9,1.5,8531.757
2017, 1 Series,13040,Manual,20506,Diesel,145,68.9,2.0,7675.344
2017, 1 Series,14397,Manual,9243,Petrol,145,52.3,1.5,8474.074200000001
2017, 1 Series,21498,Semi-Auto,26072,Petrol,200,39.8,3.0,12653.7228
2017, 1 Series,12199,Manual,22361,Diesel,0,83.1,1.5,7180.3314
2017, 1 Series,15990,Manual,30800,Diesel,145,62.8,2.0,9411.714
2019, 1 Series,17900,Automatic,8285,Petrol,145,36.7,1.5,13698.869999999999
2017, 1 Series,16990,Manual,32000,Diesel,30,62.8,2.0,10000.314
2017, 1 Series,17894,Semi-Auto,14684,Petrol,145,54.3,1.5,10532.4084
2017, 1 Series,18890,Semi-Auto,21744,Diesel,150,65.7,2.0,11118.654
2017, 1 Series,13000,Manual,26050,Diesel,145,68.9,2.0,7651.8
2017, 1 Series,22480,Semi-Auto,24552,Petrol,145,39.8,3.0,13231.728000000001
2017, 1 Series,11500,Manual,47674,Diesel,145,68.9,2.0,6768.900000000001
2017, 1 Series,13200,Manual,18638,Diesel,145,65.7,2.0,7769.52
2015, 1 Series,8490,Manual,49000,Petrol,125,50.4,1.6,3918.135
2017, 1 Series,11500,Manual,23787,Diesel,0,83.1,1.5,6768.900000000001
2015, 1 Series,13440,Semi-Auto,66471,Petrol,145,47.9,1.6,6202.56
2017, 1 Series,14397,Manual,9243,Petrol,145,52.3,1.5,8474.074200000001
2017, 1 Series,14999,Manual,32082,Diesel,145,70.6,1.5,8828.4114
2017, 1 Series,18390,Automatic,4237,Petrol,145,54.3,1.5,10824.354
